sensor_id,total_readings,malformed_reading_ids,reading_id_sequence_gaps,duplicate_reading_ids,duplicate_tx_ids,duplicate_timestamps
sns-001,2928,0,0,0,0,0
sns-002,2928,0,0,0,0,0
sns-003,2928,0,0,0,0,0
sns-004,2928,0,0,0,0,0
sns-005,2928,0,0,0,0,0
sns-006,2928,0,0,0,0,0
sns-007,2928,0,0,0,0,0
sns-008,2928,0,0,0,0,0
sns-009,2928,0,0,0,0,0
sns-010,2928,0,0,0,0,0
sns-011,2928,0,0,0,0,0
sns-012,2928,0,0,0,0,0
sns-013,2928,0,0,0,0,0
sns-014,2928,0,0,0,0,0
sns-015,2928,0,0,0,0,0
sns-016,2928,0,0,0,0,0
sns-017,2928,0,0,0,0,0
sns-018,2928,0,0,0,0,0
sns-019,2928,0,0,0,0,0
sns-020,2928,0,0,0,0,0
sns-021,2928,0,0,0,0,0
sns-022,2928,0,0,0,0,0
sns-023,2928,0,0,0,0,0
sns-024,2928,0,0,0,0,0
sns-025,2928,0,0,0,0,0
sns-026,2928,0,0,0,0,0
sns-027,2928,0,0,0,0,0
sns-028,2928,0,0,0,0,0
sns-029,2928,0,0,0,0,0
sns-030,2928,0,0,0,0,0
sns-031,2928,0,0,0,0,0
sns-032,2928,0,0,0,0,0
sns-033,2928,0,0,0,0,0
sns-034,2928,0,0,0,0,0
sns-035,2928,0,0,0,0,0
sns-036,2928,0,0,0,0,0
sns-037,2928,0,0,0,0,0
sns-038,2928,0,0,0,0,0
sns-039,2928,0,0,0,0,0
sns-040,2928,0,0,0,0,0
sns-041,2928,0,0,0,0,0
sns-042,2928,0,0,0,0,0
sns-043,2928,0,0,0,0,0
sns-044,2928,0,0,0,0,0
sns-045,2928,0,0,0,0,0
sns-046,2928,0,0,0,0,0
sns-047,2928,0,0,0,0,0
sns-048,2928,0,0,0,0,0
sns-049,2928,0,0,0,0,0
sns-050,2928,0,0,0,0,0
