outage_id,sensor_id,gateway_id,expected_missed_slots,readings_during_outage,readings_recovered_post_outage,mean_latency_baseline_ms,mean_latency_burst_ms
OUT-01,sns-001,gw-north,17,0,18,1220.1,1200.5
OUT-01,sns-002,gw-north,17,0,18,1218.6,1201.9
OUT-01,sns-003,gw-north,17,0,18,1219.2,1206.5
OUT-01,sns-004,gw-north,17,0,18,1219.0,1206.4
OUT-01,sns-005,gw-north,17,0,18,1220.8,1222.9
OUT-01,sns-006,gw-north,17,0,18,1217.8,1250.3
OUT-01,sns-007,gw-north,17,0,18,1222.2,1210.8
OUT-01,sns-008,gw-north,17,0,18,1219.1,1246.1
OUT-01,sns-009,gw-north,17,0,18,1219.7,1242.2
OUT-01,sns-010,gw-north,17,0,18,1221.8,1220.6
OUT-01,sns-011,gw-north,17,0,18,1219.2,1227.2
OUT-01,sns-012,gw-north,17,0,18,1220.9,1236.3
OUT-01,sns-013,gw-north,17,0,18,1219.5,1202.8
OUT-02,sns-039,gw-west,1,0,2,1222.0,1236.8
OUT-02,sns-040,gw-west,1,0,2,1220.2,1179.1
OUT-02,sns-041,gw-west,1,0,2,1221.8,1235.4
OUT-02,sns-042,gw-west,1,0,2,1220.3,1256.0
OUT-02,sns-043,gw-west,1,0,2,1218.3,1280.8
OUT-02,sns-044,gw-west,1,0,2,1221.3,1217.1
OUT-02,sns-045,gw-west,1,0,2,1219.6,1208.0
OUT-02,sns-046,gw-west,1,0,2,1221.5,1183.5
OUT-02,sns-047,gw-west,1,0,2,1220.4,1227.1
OUT-02,sns-048,gw-west,1,0,2,1221.2,1289.7
OUT-02,sns-049,gw-west,1,0,2,1221.5,1213.3
OUT-02,sns-050,gw-west,1,0,2,1220.5,1245.4
OUT-03,sns-014,gw-south,0,0,1,1220.6,1144.5
OUT-03,sns-015,gw-south,0,0,1,1219.9,1252.8
OUT-03,sns-016,gw-south,0,0,1,1220.1,1164.0
OUT-03,sns-017,gw-south,0,0,1,1219.5,1255.5
OUT-03,sns-018,gw-south,0,0,1,1220.1,1271.6
OUT-03,sns-019,gw-south,0,0,1,1219.2,1316.7
OUT-03,sns-020,gw-south,0,0,1,1221.1,1146.6
OUT-03,sns-021,gw-south,0,0,1,1221.6,1229.7
OUT-03,sns-022,gw-south,0,0,1,1219.0,1261.7
OUT-03,sns-023,gw-south,0,0,1,1219.2,1319.0
OUT-03,sns-024,gw-south,0,0,1,1218.4,1222.4
OUT-03,sns-025,gw-south,0,0,1,1218.9,1190.5
OUT-03,sns-026,gw-south,0,0,1,1218.6,1295.2
