timestamp,event_id,user_id,event_type,publication_time_seconds,gossip_propagation_minutes,cache_ttl_seconds,status
2025-09-30T15:00:00Z,CRL-000001,usr-0048,CACHE_INVALIDATE,55.9,4.03,299,SUCCESS
2025-08-15T15:00:00Z,CRL-000002,usr-0116,CRL_PUBLISH,58.1,4.47,283,SUCCESS
2025-08-26T01:00:00Z,CRL-000003,usr-0058,CERT_REVOKE,63.4,4.74,291,SUCCESS
2025-09-14T00:00:00Z,CRL-000004,usr-0167,CRL_PUBLISH,70.7,4.23,289,DELAYED
2025-08-21T11:00:00Z,CRL-000005,usr-0168,CACHE_INVALIDATE,63.5,3.84,306,SUCCESS
2025-09-12T15:00:00Z,CRL-000006,usr-0042,CACHE_INVALIDATE,59.9,5.08,281,DELAYED
2025-09-01T02:00:00Z,CRL-000007,usr-0146,CACHE_INVALIDATE,56.0,4.55,314,SUCCESS
2025-09-16T12:00:00Z,CRL-000008,usr-0090,GOSSIP_COMPLETE,58.4,4.07,301,SUCCESS
2025-08-21T20:00:00Z,CRL-000009,usr-0004,CRL_PUBLISH,63.1,4.04,305,SUCCESS
2025-08-06T23:00:00Z,CRL-000010,usr-0191,GOSSIP_COMPLETE,61.4,3.54,305,SUCCESS
2025-09-18T19:00:00Z,CRL-000011,usr-0161,CRL_PUBLISH,60.9,4.22,309,DELAYED
2025-09-28T04:00:00Z,CRL-000012,usr-0020,CACHE_INVALIDATE,59.8,4.48,310,SUCCESS
2025-09-28T18:00:00Z,CRL-000013,usr-0198,CACHE_INVALIDATE,57.3,4.26,296,DELAYED
2025-09-16T00:00:00Z,CRL-000014,usr-0083,GOSSIP_COMPLETE,55.7,3.93,283,SUCCESS
2025-09-23T14:00:00Z,CRL-000015,usr-0059,CRL_PUBLISH,68.7,4.33,298,DELAYED
2025-09-05T04:00:00Z,CRL-000016,usr-0135,CACHE_INVALIDATE,61.7,4.23,319,SUCCESS
2025-09-13T04:00:00Z,CRL-000017,usr-0079,CERT_REVOKE,64.0,4.45,282,SUCCESS
2025-09-12T01:00:00Z,CRL-000018,usr-0187,CACHE_INVALIDATE,56.3,4.58,288,SUCCESS
2025-09-15T16:00:00Z,CRL-000019,usr-0187,CERT_REVOKE,59.1,4.51,293,SUCCESS
2025-09-27T04:00:00Z,CRL-000020,usr-0074,CACHE_INVALIDATE,62.7,4.39,290,SUCCESS
2025-08-24T22:00:00Z,CRL-000021,usr-0171,CERT_REVOKE,63.5,4.3,294,SUCCESS
2025-09-13T14:00:00Z,CRL-000022,usr-0057,CACHE_INVALIDATE,60.5,3.99,291,SUCCESS
2025-09-22T22:00:00Z,CRL-000023,usr-0011,GOSSIP_COMPLETE,64.8,4.76,303,SUCCESS
