sample_id,operation,duration_us
CT-0000001,sha256_hardware,10.8
CT-0000002,sha256_hardware,12.3
CT-0000003,sha256_hardware,11.7
CT-0000004,sha256_hardware,14.2
CT-0000005,sha256_hardware,12.5
CT-0000006,sha256_hardware,11.6
CT-0000007,sha256_hardware,10.8
CT-0000008,sha256_hardware,10.8
CT-0000009,sha256_hardware,12.9
CT-0000010,sha256_hardware,10.3
CT-0000011,sha256_hardware,11.2
CT-0000012,sha256_hardware,11.4
CT-0000013,sha256_hardware,10.4
CT-0000014,sha256_hardware,10.4
CT-0000015,sha256_hardware,11.9
CT-0000016,sha256_hardware,11.3
CT-0000017,sha256_hardware,10.9
CT-0000018,sha256_hardware,10.7
CT-0000019,sha256_hardware,10.8
CT-0000020,sha256_hardware,11.2
CT-0000021,sha256_hardware,13.5
CT-0000022,sha256_hardware,12.0
CT-0000023,sha256_hardware,12.8
CT-0000024,sha256_hardware,12.9
CT-0000025,sha256_hardware,11.5
CT-0000026,sha256_hardware,11.1
CT-0000027,sha256_hardware,10.4
CT-0000028,sha256_hardware,10.3
CT-0000029,sha256_hardware,14.0
CT-0000030,sha256_hardware,11.8
CT-0000031,sha256_hardware,12.0
CT-0000032,sha256_hardware,12.2
CT-0000033,sha256_hardware,12.2
CT-0000034,sha256_hardware,11.4
CT-0000035,sha256_hardware,13.3
CT-0000036,sha256_hardware,12.1
CT-0000037,sha256_hardware,11.5
CT-0000038,sha256_hardware,9.9
CT-0000039,sha256_hardware,10.4
CT-0000040,sha256_hardware,11.8
CT-0000041,sha256_hardware,11.7
CT-0000042,sha256_hardware,13.6
CT-0000043,sha256_hardware,13.2
CT-0000044,sha256_hardware,11.9
CT-0000045,sha256_hardware,11.9
CT-0000046,sha256_hardware,13.5
CT-0000047,sha256_hardware,12.6
CT-0000048,sha256_hardware,12.0
CT-0000049,sha256_hardware,11.0
CT-0000050,sha256_hardware,11.4
CT-0000051,sha256_hardware,13.6
CT-0000052,sha256_hardware,10.6
CT-0000053,sha256_hardware,12.5
CT-0000054,sha256_hardware,10.1
CT-0000055,sha256_hardware,12.2
CT-0000056,sha256_hardware,11.1
CT-0000057,sha256_hardware,13.9
CT-0000058,sha256_hardware,11.8
CT-0000059,sha256_hardware,12.9
CT-0000060,sha256_hardware,12.9
CT-0000061,sha256_hardware,11.4
CT-0000062,sha256_hardware,11.5
CT-0000063,sha256_hardware,12.1
CT-0000064,sha256_hardware,11.3
CT-0000065,sha256_hardware,12.2
CT-0000066,sha256_hardware,13.4
CT-0000067,sha256_hardware,11.6
CT-0000068,sha256_hardware,11.4
CT-0000069,sha256_hardware,11.7
CT-0000070,sha256_hardware,10.5
CT-0000071,sha256_hardware,12.8
CT-0000072,sha256_hardware,13.6
CT-0000073,sha256_hardware,10.5
CT-0000074,sha256_hardware,11.2
CT-0000075,sha256_hardware,11.3
CT-0000076,sha256_hardware,12.9
CT-0000077,sha256_hardware,11.9
CT-0000078,sha256_hardware,11.2
CT-0000079,sha256_hardware,14.0
CT-0000080,sha256_hardware,10.7
CT-0000081,sha256_hardware,12.2
CT-0000082,sha256_hardware,11.5
CT-0000083,sha256_hardware,11.2
CT-0000084,sha256_hardware,11.0
