sample_id,mode,payload_bytes,energy_mj,airtime_ms
ES-0000001,SingleChannel,23,24.743,35.21
ES-0000002,SingleChannel,22,24.098,36.56
ES-0000003,SingleChannel,20,23.409,36.45
ES-0000004,SingleChannel,19,25.234,36.77
ES-0000005,SingleChannel,20,24.499,36.51
ES-0000006,SingleChannel,23,24.275,36.36
ES-0000007,SingleChannel,23,24.732,38.91
ES-0000008,SingleChannel,19,23.686,36.91
ES-0000009,SingleChannel,19,24.038,36.6
ES-0000010,SingleChannel,21,24.583,32.6
ES-0000011,SingleChannel,22,23.901,36.0
ES-0000012,SingleChannel,19,23.624,37.26
ES-0000013,SingleChannel,21,24.499,37.08
ES-0000014,SingleChannel,19,24.765,36.0
ES-0000015,SingleChannel,20,24.953,36.26
ES-0000016,SingleChannel,23,24.225,36.37
ES-0000017,SingleChannel,18,24.072,35.22
ES-0000018,SingleChannel,18,26.51,36.73
ES-0000019,SingleChannel,21,23.915,37.61
ES-0000020,SingleChannel,20,25.639,35.55
ES-0000021,SingleChannel,22,25.596,37.58
ES-0000022,SingleChannel,18,23.459,35.72
ES-0000023,SingleChannel,23,24.693,37.34
ES-0000024,SingleChannel,23,23.819,34.46
ES-0000025,SingleChannel,20,24.64,37.4
ES-0000026,SingleChannel,22,23.335,35.78
ES-0000027,SingleChannel,22,25.241,35.23
ES-0000028,SingleChannel,19,24.254,35.89
ES-0000029,SingleChannel,22,25.388,35.61
ES-0000030,SingleChannel,18,24.278,35.96
ES-0000031,SingleChannel,19,25.588,34.21
ES-0000032,SingleChannel,23,24.186,36.61
ES-0000033,SingleChannel,21,23.856,36.47
ES-0000034,SingleChannel,18,24.455,37.73
ES-0000035,SingleChannel,20,25.402,36.53
ES-0000036,SingleChannel,23,24.427,36.54
ES-0000037,SingleChannel,20,24.786,35.44
ES-0000038,SingleChannel,19,24.51,37.47
ES-0000039,SingleChannel,21,24.663,34.39
ES-0000040,SingleChannel,18,23.946,34.51
ES-0000041,SingleChannel,23,23.762,38.25
ES-0000042,SingleChannel,18,24.256,36.52
ES-0000043,SingleChannel,23,24.445,35.08
ES-0000044,SingleChannel,20,25.049,36.63
ES-0000045,SingleChannel,20,23.967,36.33
ES-0000046,SingleChannel,20,23.532,34.92
ES-0000047,SingleChannel,19,24.549,35.53
ES-0000048,SingleChannel,23,23.105,34.04
ES-0000049,SingleChannel,19,24.174,35.81
ES-0000050,SingleChannel,20,23.154,34.78
ES-0000051,SingleChannel,21,25.414,34.98
ES-0000052,SingleChannel,18,25.714,36.29
ES-0000053,SingleChannel,22,23.231,35.59
ES-0000054,SingleChannel,19,24.073,34.3
ES-0000055,SingleChannel,18,26.106,36.8
ES-0000056,SingleChannel,18,24.815,36.0
ES-0000057,SingleChannel,22,24.346,35.81
ES-0000058,SingleChannel,21,23.794,34.92
ES-0000059,SingleChannel,21,24.329,39.31
ES-0000060,SingleChannel,23,25.658,35.09
ES-0000061,SingleChannel,18,24.412,38.42
ES-0000062,SingleChannel,21,24.621,36.24
ES-0000063,SingleChannel,22,23.706,36.49
ES-0000064,SingleChannel,22,24.259,35.67
ES-0000065,SingleChannel,20,23.049,35.9
ES-0000066,SingleChannel,23,25.074,34.37
ES-0000067,SingleChannel,19,25.063,34.45
ES-0000068,SingleChannel,23,24.47,34.64
ES-0000069,SingleChannel,23,24.798,37.08
ES-0000070,SingleChannel,19,24.774,35.81
ES-0000071,SingleChannel,22,25.27,34.13
ES-0000072,SingleChannel,18,22.918,36.96
ES-0000073,SingleChannel,21,23.881,38.33
ES-0000074,SingleChannel,23,24.327,37.43
ES-0000075,SingleChannel,19,23.869,38.68
