sensor_id,device_id,zone,gateway_id,x_m,y_m,latitude,longitude,model,cert_validity_months
sns-001,dev-n01,North,gw-north-01,2403.1,8144.9,-14.926623,28.02165,TerraSensor-Pro,36
sns-002,dev-n02,North,gw-north-01,1192.7,6462.5,-14.941779,28.010745,AgriSense-X2,12
sns-003,dev-n03,North,gw-north-01,4812.4,6476.3,-14.941655,28.043355,AgriSense-X2,24
sns-004,dev-n04,North,gw-north-01,4378.2,8386.5,-14.924446,28.039443,SoilGuard-v3,36
sns-005,dev-n05,North,gw-north-01,167.7,7849.9,-14.92928,28.001511,AgriSense-X1,36
sns-006,dev-n06,North,gw-north-01,4865.5,6886.6,-14.937959,28.043833,AgriSense-X1,36
sns-007,dev-n07,North,gw-north-01,393.0,6119.5,-14.944869,28.003541,AgriSense-X2,36
sns-008,dev-n08,North,gw-north-01,642.2,6969.1,-14.937215,28.005786,AgriSense-X2,12
sns-009,dev-n09,North,gw-north-01,2314.0,6538.5,-14.941095,28.020847,TerraSensor-Pro,12
sns-010,dev-n10,North,gw-north-01,4477.4,7309.0,-14.934153,28.040337,TerraSensor-Pro,12
sns-011,dev-n11,North,gw-north-01,2222.9,6598.1,-14.940558,28.020026,AgriSense-X2,24
sns-012,dev-n12,North,gw-north-01,3938.8,6919.2,-14.937665,28.035485,TerraSensor-Pro,24
sns-013,dev-n13,North,gw-north-01,636.5,7020.4,-14.936753,28.005734,TerraSensor-Pro,24
sns-014,dev-s01,South,gw-south-01,3967.8,1677.3,-14.984889,28.035746,AgriSense-X1,12
sns-015,dev-s02,South,gw-south-01,2251.5,950.7,-14.991435,28.020284,SoilGuard-v3,12
sns-016,dev-s03,South,gw-south-01,2826.0,1973.1,-14.982224,28.025459,AgriSense-X1,24
sns-017,dev-s04,South,gw-south-01,79.6,204.2,-14.99816,28.000717,AgriSense-X2,24
sns-018,dev-s05,South,gw-south-01,3384.6,750.0,-14.993243,28.030492,SoilGuard-v3,12
sns-019,dev-s06,South,gw-south-01,1605.8,1939.3,-14.982529,28.014467,TerraSensor-Pro,12
sns-020,dev-s07,South,gw-south-01,995.3,436.0,-14.996072,28.008967,AgriSense-X2,12
sns-021,dev-s08,South,gw-south-01,4166.1,635.3,-14.994277,28.037532,AgriSense-X1,24
sns-022,dev-s09,South,gw-south-01,2742.0,207.5,-14.998131,28.024703,SoilGuard-v3,12
sns-023,dev-s10,South,gw-south-01,4745.8,2222.2,-14.97998,28.042755,TerraSensor-Pro,24
sns-024,dev-s11,South,gw-south-01,3554.6,164.8,-14.998515,28.032023,SoilGuard-v3,24
sns-025,dev-s12,South,gw-south-01,2250.4,405.5,-14.996347,28.020274,AgriSense-X1,24
sns-026,dev-s13,South,gw-south-01,905.4,1061.1,-14.990441,28.008157,AgriSense-X1,36
sns-027,dev-e01,East,gw-east-01,9458.6,5007.4,-14.954888,28.085213,AgriSense-X2,24
sns-028,dev-e02,East,gw-east-01,10588.4,3082.7,-14.972228,28.095391,AgriSense-X2,36
sns-029,dev-e03,East,gw-east-01,10145.8,5126.4,-14.953816,28.091404,AgriSense-X1,24
sns-030,dev-e04,East,gw-east-01,10217.5,3972.7,-14.96421,28.09205,TerraSensor-Pro,24
sns-031,dev-e05,East,gw-east-01,8966.5,3359.2,-14.969737,28.080779,AgriSense-X1,24
sns-032,dev-e06,East,gw-east-01,11132.7,3912.6,-14.964751,28.100295,AgriSense-X2,12
sns-033,dev-e07,East,gw-east-01,9077.1,4956.9,-14.955343,28.081776,AgriSense-X1,12
sns-034,dev-e08,East,gw-east-01,9129.9,3074.2,-14.972305,28.082251,SoilGuard-v3,36
sns-035,dev-e09,East,gw-east-01,8916.2,4569.7,-14.958832,28.080326,AgriSense-X2,12
sns-036,dev-e10,East,gw-east-01,7763.2,3378.1,-14.969567,28.069939,AgriSense-X2,24
sns-037,dev-e11,East,gw-east-01,7907.6,4057.4,-14.963447,28.07124,AgriSense-X1,12
sns-038,dev-e12,East,gw-east-01,9897.5,3903.9,-14.96483,28.089167,SoilGuard-v3,12
sns-039,dev-w01,West,gw-west-01,1818.3,4436.1,-14.960035,28.016381,TerraSensor-Pro,24
sns-040,dev-w02,West,gw-west-01,1589.9,3679.7,-14.96685,28.014323,TerraSensor-Pro,36
sns-041,dev-w03,West,gw-west-01,3623.2,4487.7,-14.95957,28.032641,TerraSensor-Pro,24
sns-042,dev-w04,West,gw-west-01,3303.3,4814.3,-14.956628,28.029759,AgriSense-X1,12
sns-043,dev-w05,West,gw-west-01,136.5,3777.1,-14.965972,28.00123,AgriSense-X1,12
sns-044,dev-w06,West,gw-west-01,2294.8,5470.5,-14.950716,28.020674,SoilGuard-v3,36
sns-045,dev-w07,West,gw-west-01,2197.3,3668.1,-14.966954,28.019795,AgriSense-X1,12
sns-046,dev-w08,West,gw-west-01,2993.9,5233.4,-14.952852,28.026972,TerraSensor-Pro,24
sns-047,dev-w09,West,gw-west-01,945.0,3324.3,-14.970051,28.008514,SoilGuard-v3,12
sns-048,dev-w10,West,gw-west-01,4313.2,3664.8,-14.966984,28.038858,AgriSense-X1,12
sns-049,dev-w11,West,gw-west-01,2884.9,3453.4,-14.968888,28.02599,AgriSense-X1,24
sns-050,dev-w12,West,gw-west-01,2689.6,4449.7,-14.959913,28.024231,AgriSense-X1,24
