timestamp,run_id,run_sequence,benchmark_type,concurrent_clients,duration_seconds,total_transactions,tps
2025-08-01T00:03:00Z,RUN-00001,1,HRBAC,10,60,2467,41.12
2025-08-01T00:06:00Z,RUN-00002,2,Baseline,10,60,2755,45.91
2025-08-01T00:09:00Z,RUN-00003,3,HRBAC,10,60,2288,38.13
2025-08-01T00:12:00Z,RUN-00004,4,Baseline,10,60,2817,46.94
2025-08-01T00:15:00Z,RUN-00005,5,HRBAC,10,60,2423,40.38
2025-08-01T00:18:00Z,RUN-00006,6,Baseline,10,60,2655,44.26
2025-08-01T00:21:00Z,RUN-00007,7,HRBAC,10,60,2461,41.02
2025-08-01T00:24:00Z,RUN-00008,8,Baseline,10,60,2500,41.66
2025-08-01T00:27:00Z,RUN-00009,9,HRBAC,10,60,2386,39.77
2025-08-01T00:30:00Z,RUN-00010,10,Baseline,10,60,2632,43.86
2025-08-01T00:33:00Z,RUN-00011,11,HRBAC,20,60,3225,53.75
2025-08-01T00:36:00Z,RUN-00012,12,Baseline,20,60,3545,59.09
2025-08-01T00:39:00Z,RUN-00013,13,HRBAC,20,60,3294,54.90
2025-08-01T00:42:00Z,RUN-00014,14,Baseline,20,60,4049,67.49
2025-08-01T00:45:00Z,RUN-00015,15,HRBAC,20,60,3504,58.40
2025-08-01T00:48:00Z,RUN-00016,16,Baseline,20,60,3893,64.89
2025-08-01T00:51:00Z,RUN-00017,17,HRBAC,20,60,3222,53.70
2025-08-01T00:54:00Z,RUN-00018,18,Baseline,20,60,3649,60.81
2025-08-01T00:57:00Z,RUN-00019,19,HRBAC,20,60,3243,54.05
2025-08-01T01:00:00Z,RUN-00020,20,Baseline,20,60,3686,61.44
2025-08-01T01:03:00Z,RUN-00021,21,HRBAC,30,60,3822,63.69
2025-08-01T01:06:00Z,RUN-00022,22,Baseline,30,60,4032,67.20
2025-08-01T01:09:00Z,RUN-00023,23,HRBAC,30,60,3683,61.39
2025-08-01T01:12:00Z,RUN-00024,24,Baseline,30,60,4024,67.07
2025-08-01T01:15:00Z,RUN-00025,25,HRBAC,30,60,3740,62.34
2025-08-01T01:18:00Z,RUN-00026,26,Baseline,30,60,4085,68.09
2025-08-01T01:21:00Z,RUN-00027,27,HRBAC,30,60,3677,61.29
2025-08-01T01:24:00Z,RUN-00028,28,Baseline,30,60,4022,67.04
2025-08-01T01:27:00Z,RUN-00029,29,HRBAC,30,60,3690,61.50
2025-08-01T01:30:00Z,RUN-00030,30,Baseline,30,60,4044,67.40
2025-08-01T01:33:00Z,RUN-00031,31,HRBAC,40,60,3816,63.61
2025-08-01T01:36:00Z,RUN-00032,32,Baseline,40,60,4009,66.82
2025-08-01T01:39:00Z,RUN-00033,33,HRBAC,40,60,3761,62.69
2025-08-01T01:42:00Z,RUN-00034,34,Baseline,40,60,4326,72.09
2025-08-01T01:45:00Z,RUN-00035,35,HRBAC,40,60,3877,64.61
2025-08-01T01:48:00Z,RUN-00036,36,Baseline,40,60,4218,70.29
2025-08-01T01:51:00Z,RUN-00037,37,HRBAC,40,60,3803,63.39
2025-08-01T01:54:00Z,RUN-00038,38,Baseline,40,60,4306,71.77
2025-08-01T01:57:00Z,RUN-00039,39,HRBAC,40,60,3798,63.29
2025-08-01T02:00:00Z,RUN-00040,40,Baseline,40,60,4259,70.99
2025-08-01T02:03:00Z,RUN-00041,41,HRBAC,50,60,3797,63.29
2025-08-01T02:06:00Z,RUN-00042,42,Baseline,50,60,4152,69.19
2025-08-01T02:09:00Z,RUN-00043,43,HRBAC,50,60,3816,63.60
2025-08-01T02:12:00Z,RUN-00044,44,Baseline,50,60,4219,70.32
2025-08-01T02:15:00Z,RUN-00045,45,HRBAC,50,60,3744,62.40
2025-08-01T02:18:00Z,RUN-00046,46,Baseline,50,60,4231,70.52
2025-08-01T02:21:00Z,RUN-00047,47,HRBAC,50,60,3744,62.40
2025-08-01T02:24:00Z,RUN-00048,48,Baseline,50,60,3988,66.47
2025-08-01T02:27:00Z,RUN-00049,49,HRBAC,50,60,3841,64.02
2025-08-01T02:30:00Z,RUN-00050,50,Baseline,50,60,4137,68.95
2025-08-01T02:33:00Z,RUN-00051,51,HRBAC,60,60,3639,60.66
2025-08-01T02:36:00Z,RUN-00052,52,Baseline,60,60,3999,66.65
2025-08-01T02:39:00Z,RUN-00053,53,HRBAC,60,60,3669,61.16
2025-08-01T02:42:00Z,RUN-00054,54,Baseline,60,60,4137,68.96
2025-08-01T02:45:00Z,RUN-00055,55,HRBAC,60,60,3746,62.43
2025-08-01T02:48:00Z,RUN-00056,56,Baseline,60,60,4217,70.28
2025-08-01T02:51:00Z,RUN-00057,57,HRBAC,60,60,3607,60.11
2025-08-01T02:54:00Z,RUN-00058,58,Baseline,60,60,4247,70.78
2025-08-01T02:57:00Z,RUN-00059,59,HRBAC,60,60,3638,60.63
2025-08-01T03:00:00Z,RUN-00060,60,Baseline,60,60,4186,69.76
2025-08-01T03:03:00Z,RUN-00061,61,HRBAC,70,60,3661,61.02
2025-08-01T03:06:00Z,RUN-00062,62,Baseline,70,60,3875,64.59
2025-08-01T03:09:00Z,RUN-00063,63,HRBAC,70,60,3522,58.70
2025-08-01T03:12:00Z,RUN-00064,64,Baseline,70,60,3997,66.62
2025-08-01T03:15:00Z,RUN-00065,65,HRBAC,70,60,3664,61.06
2025-08-01T03:18:00Z,RUN-00066,66,Baseline,70,60,3956,65.93
2025-08-01T03:21:00Z,RUN-00067,67,HRBAC,70,60,3451,57.52
2025-08-01T03:24:00Z,RUN-00068,68,Baseline,70,60,3993,66.55
2025-08-01T03:27:00Z,RUN-00069,69,HRBAC,70,60,3637,60.62
2025-08-01T03:30:00Z,RUN-00070,70,Baseline,70,60,4007,66.78
2025-08-01T03:33:00Z,RUN-00071,71,HRBAC,80,60,3577,59.61
2025-08-01T03:36:00Z,RUN-00072,72,Baseline,80,60,3742,62.37
2025-08-01T03:39:00Z,RUN-00073,73,HRBAC,80,60,3545,59.08
2025-08-01T03:42:00Z,RUN-00074,74,Baseline,80,60,4009,66.82
2025-08-01T03:45:00Z,RUN-00075,75,HRBAC,80,60,3535,58.91
2025-08-01T03:48:00Z,RUN-00076,76,Baseline,80,60,3997,66.61
2025-08-01T03:51:00Z,RUN-00077,77,HRBAC,80,60,3510,58.50
2025-08-01T03:54:00Z,RUN-00078,78,Baseline,80,60,3807,63.45
2025-08-01T03:57:00Z,RUN-00079,79,HRBAC,80,60,3731,62.18
2025-08-01T04:00:00Z,RUN-00080,80,Baseline,80,60,3866,64.44
2025-08-01T04:03:00Z,RUN-00081,81,HRBAC,90,60,3322,55.36
2025-08-01T04:06:00Z,RUN-00082,82,Baseline,90,60,3625,60.42
2025-08-01T04:09:00Z,RUN-00083,83,HRBAC,90,60,3300,55.00
2025-08-01T04:12:00Z,RUN-00084,84,Baseline,90,60,3681,61.34
2025-08-01T04:15:00Z,RUN-00085,85,HRBAC,90,60,3424,57.06
2025-08-01T04:18:00Z,RUN-00086,86,Baseline,90,60,3692,61.54
2025-08-01T04:21:00Z,RUN-00087,87,HRBAC,90,60,3342,55.71
2025-08-01T04:24:00Z,RUN-00088,88,Baseline,90,60,3472,57.86
2025-08-01T04:27:00Z,RUN-00089,89,HRBAC,90,60,3412,56.86
2025-08-01T04:30:00Z,RUN-00090,90,Baseline,90,60,3915,65.25
2025-08-01T04:33:00Z,RUN-00091,91,HRBAC,100,60,3280,54.67
2025-08-01T04:36:00Z,RUN-00092,92,Baseline,100,60,3536,58.93
2025-08-01T04:39:00Z,RUN-00093,93,HRBAC,100,60,3193,53.22
2025-08-01T04:42:00Z,RUN-00094,94,Baseline,100,60,3554,59.23
2025-08-01T04:45:00Z,RUN-00095,95,HRBAC,100,60,3287,54.78
2025-08-01T04:48:00Z,RUN-00096,96,Baseline,100,60,3538,58.97
2025-08-01T04:51:00Z,RUN-00097,97,HRBAC,100,60,3155,52.59
2025-08-01T04:54:00Z,RUN-00098,98,Baseline,100,60,3537,58.96
2025-08-01T04:57:00Z,RUN-00099,99,HRBAC,100,60,3218,53.64
