file,category,doi,title,authors,year,venue,source,size_bytes,sha256
"papers/AI_Assisted_Sharding_Techniques_for_Blockchain_Scalability.pdf","supplemental_related_oa","10.63345/sjaibt.v2.i1.102","AI-Assisted Sharding Techniques for Blockchain Scalability","Dr. Eva Horváth","2025","Scientific Journal of Artificial Intelligence and Blockchain Technologies","related OA search","352967","d1be6406432a34d1173d91e03213178881be257453a8ab29f28e55df3371282f"
"papers/AI_Powered_Innovation_in_Digital_Transformation_Key_Pillars_and_Industry_Impact.pdf","prior_related","10.3390/su16051790","AI-Powered Innovation in Digital Transformation: Key Pillars and Industry Impact","Abdulaziz Aldoseri; Khalifa N. Al‐Khalifa; A.M.S. Hamouda","2024","Sustainability","Recommended via topic search: blockchain scalability parallel transaction execution","1357560","f2c39b4d640aaff152e134445bb77622255bc705ba26017ca8d6cb2bb42d9aec"
"papers/AI_and_6G_Into_the_Metaverse_Fundamentals_Challenges_and_Future_Research_Trends.pdf","prior_related","10.1109/ojcoms.2024.3349465","AI and 6G Into the Metaverse: Fundamentals, Challenges and Future Research Trends","Muhammad Zawish; Fayaz Ali Dharejo; Sunder Ali Khowaja; Saleem Raza; Steven Davy; Kapal Dev; Paolo Bellavista","2024","IEEE Open Journal of the Communications Society","Recommended via topic search: blockchain scalability parallel transaction execution","20899540","4501b9f082a6379cbe2d7b7a156377ef7aca29e5853464859948b160deac858f"
"papers/A_Chinese_Remainder_Theorem_for_partitions.pdf","supplemental_related_oa","10.1007/s11139-023-00699-0","A Chinese Remainder Theorem for partitions","Kayanattath Seethalakshmi; Steven Spallone","2023","The Ramanujan Journal","related OA search","482316","36af9df29a9468726b5249c230f0137328b9fb34eb79f9e8ec2189e6e722a61b"
"papers/A_Comprehensive_Review_on_Cyber_Attacks_in_Power_Systems_Impact_Analysis_Detection_and_Cyber_Security.pdf","prior_related","10.1109/access.2024.3361039","A Comprehensive Review on Cyber-Attacks in Power Systems: Impact Analysis, Detection, and Cyber Security","Naveen Tatipatri; S. L. Arun","2024","IEEE Access","Recommended via topic search: Chinese remainder theorem blockchain cryptography","2303881","f6b9fd0f46fc4147c881d72acd11975325e3bbca758cb4e3f4d1783bd13ebbc5"
"papers/A_Comprehensive_Survey_Evaluating_the_Efficiency_of_Artificial_Intelligence_and_Machine_Learning_Techniques_on.pdf","prior_related","10.1109/access.2024.3355547","A Comprehensive Survey: Evaluating the Efficiency of Artificial Intelligence and Machine Learning Techniques on Cyber Security Solutions","Merve Ozkan-Okay; Erdal Akin; Ömer Aslan; Selahattin Koşunalp; Teodor Iliev; Ivaylo Stoyanov; Ivan Beloev","2024","IEEE Access","Recommended via topic search: blockchain scalability parallel transaction execution","11907527","901bd687de007b78451b52addb37eacb5c4bdcaa7ce5d9c12a4994e9cecfce7a"
"papers/A_Novel_Blockchain_Based_Deepfake_Detection_Method_Using_Federated_and_Deep_Learning_Models.pdf","prior_related","10.1007/s12559-024-10255-7","A Novel Blockchain-Based Deepfake Detection Method Using Federated and Deep Learning Models","Arash Heidari; Nima Jafari Navimipour; Hasan Dağ; Samira Talebi; Mehmet Ünal","2024","Cognitive Computation","Recommended via topic search: blockchain scalability parallel transaction execution","1773954","159853d51c70ebd9a8ab42334565ef72414b7213d76fb5c414e5b30fc97ac2e0"
"papers/A_Survey_of_LoRaWAN_for_IoT_From_Technology_to_Application.pdf","reference_bib","10.3390/s18113995","A Survey of LoRaWAN for IoT: From Technology to Application","Haxhibeqiri, Jetmir and De Poorter, Eli and Moerman, Ingrid and Hoebeke, Jeroen","2018","Sensors","raza2018lorawan","1048489","02d66375ccdecec7ff718191e833d4808c94b83686cf9b92f034f897af336bbc"
"papers/A_Survey_on_Intelligent_Internet_of_Things_Applications_Security_Privacy_and_Future_Directions.pdf","prior_related","10.1109/comst.2024.3430368","A Survey on Intelligent Internet of Things: Applications, Security, Privacy, and Future Directions","Ons Aouedi; Thai-Hoc Vu; Alessio Sacco; Dinh C. Nguyen; Kandaraj Piamrat; Guido Marchetto; Quoc‐Viet Pham","2024","IEEE Communications Surveys & Tutorials","Recommended via topic search: blockchain smart agriculture IoT traceability","5019227","acb78008934b2fb9118f8d9789d0c87266b5e6030c9c31ae7b546aa48b65426f"
"papers/A_Survey_on_LoRa_for_Smart_Agriculture_Current_Trends_and_Future_Perspectives.pdf","reference_bib","10.1109/jiot.2022.3230505","A Survey on LoRa for Smart Agriculture: Current Trends and Future Perspectives","Pagano, Antonino and Croce, Daniele and Tinnirello, Ilenia and Vitale, Gianpaolo","2023","IEEE Internet of Things Journal","wang2025lora","1933605","0762cb168c57d0fab25428bf2a7781295edf6371d32b249660ea2841e4100665"
"papers/A_Survey_on_the_Role_of_IoT_in_Agriculture_for_the_Implementation_of_Smart_Farming.pdf","reference_bib","10.1109/access.2019.2949703","A Survey on the Role of IoT in Agriculture for the Implementation of Smart Farming","Farooq, M. S. and Riaz, Shamyla and Abid, Adnan and Abid, Kashif and Naeem, M. A.","2019","IEEE Access","hassan2019iotSecurity","12249113","11d6d07c97683f8e3a051cfbc07370156a2b0fa6ecd361680f9b65a226235e13"
"papers/A_meta_systematic_review_of_artificial_intelligence_in_higher_education_a_call_for_increased_ethics_collaborat.pdf","prior_related","10.1186/s41239-023-00436-z","A meta systematic review of artificial intelligence in higher education: a call for increased ethics, collaboration, and rigour","Melissa Bond; Hassan Khosravi; Maarten de Laat; Nina Bergdahl; Violeta Negrea; Emily Oxley; Phuong Pham; Sin Wang Chong; George Siemens","2024","International Journal of Educational Technology in Higher Education","Recommended via topic search: blockchain healthcare electronic health records privacy","2890939","0c30d0b185b5e6cf3a830b75e2d0eed53f1de472a8a52ec865a1a29bbaf80115"
"papers/A_systematic_review_of_deep_learning_techniques_for_plant_diseases.pdf","prior_related","10.1007/s10462-024-10944-7","A systematic review of deep learning techniques for plant diseases","İshak Paçal; İsmail Kunduracıoğlu; Mehmet Hakkı Alma; Muhammet Deveci; Seifedine Kadry; Jan Nedoma; Vlastimil Slaný; Radek Martínek","2024","Artificial Intelligence Review","Recommended via topic search: blockchain smart agriculture IoT traceability","3388748","53e9c530bea2adda65310c8bdf379d9813adb6becbca90373d5496f65791d689"
"papers/An_Advanced_Energy_Efficient_Environmental_Monitoring_in_Precision_Agriculture_Using_LoRa_Based_Wireless_Senso.pdf","reference_bib","10.3390/s23146332","An Advanced Energy-Efficient Environmental Monitoring in Precision Agriculture Using LoRa-Based Wireless Sensor Networks","Vukovic, Vukica and Raca, Darijo and Vukovic, Milan","2023","Sensors","mohammed2025loraEnergy","5301154","c097455c419387042c3f5f8f3226090dbe1cebed8aec0a4e5cdecbe1ed1e8882"
"papers/An_Efficient_Authentication_Scheme_for_Blockchain_Based_Electronic_Health_Records.pdf","cited_in_manuscripts","10.1109/access.2019.2904300","An Efficient Authentication Scheme for Blockchain-Based Electronic Health Records","Fei Tang; Shuai Ma; Yong Xiang; Changlu Lin","2019","IEEE Access","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","2607028","cbaea2054310701ecc9721dcdb0c1b5ad973066d24e71547bde9f0c86a334a7c"
"papers/An_Explainable_Artificial_Intelligence_Driven_Blockchain_Architecture_for_Secure_Healthcare_Data_Exchange.pdf","supplemental_related_oa","","An Explainable Artificial Intelligence Driven Blockchain Architecture for Secure Healthcare Data Exchange","","","","related OA search","649059","c9a0a5e6482281602ce2ce2e3fcd4768a356b0b881d525d5d681a533b6b45b35"
"papers/An_advanced_deep_learning_method_for_pepper_diseases_and_pests_detection.pdf","reference_bib","10.1186/s13007-025-01387-4","An advanced deep learning method for pepper diseases and pests detection","Wang, Xuewei and Liu, Jun and Chen, Qian","2025","Plant Methods","wang2025pepper","4589607","1dd9644d3ab31664047d35b8f2c0dcdc9c03bbae636ab8010fd987100e02a690"
"papers/An_optimized_cloud_based_blockchain_framework_for_enhanced_scalability_security_and_energy_efficiency.pdf","supplemental_related_oa","","An optimized cloud based blockchain framework for enhanced scalability security and energy efficiency","","","","related OA search","1725097","b49d3e76b0398ff6d4f83f0582142f95594d282801b228da1b38594f5e80a84a"
"papers/Applicability_of_Blockchain_Based_Implementation_for_Risk_Management_in_Healthcare_Projects.pdf","supplemental_related_oa","10.30953/bhty.v5.191","Applicability of Blockchain-Based Implementation for Risk Management in Healthcare Projects","In Bae Chung; Carlos Caldas","2022","Blockchain in Healthcare Today","related OA search","2126418","1fd781cf3dfccb9e6faf4a5f10ff96d6720234e8c8b7e82a612d337e97724a4f"
"papers/Applications_of_blockchain_technology_for_enhancing_traceability_and_food_safety_management_in_the_beef_s.pdf","supplemental_related_oa","10.3897/ejfa.2025.168820","Applications of blockchain technology for enhancing traceability and food safety management in the beef supply chain","Jiaohui Tang","2025","Emirates Journal of Food and Agriculture","related OA search","1762027","981855112cf2910e240aa5c768ef8a7c9a68a7388b84d99f5747f53b2b310fd7"
"papers/Artificial_Intelligence_AI_Applications_in_Drug_Discovery_and_Drug_Delivery_Revolutionizing_Personalized_Medic.pdf","prior_related","10.3390/pharmaceutics16101328","Artificial Intelligence (AI) Applications in Drug Discovery and Drug Delivery: Revolutionizing Personalized Medicine","Dolores R. Serrano; Francis C. Luciano; Brayan J. Anaya; Baris Öngoren; Aytug Kara; Gracia Molina; Bianca I. Ramirez; Sergio A. Sánchez-Guirales; JJ Martínez Simón; Greta Tomietto; Chrysi Rapti; Helga K. Ruiz; Satyavati Rawat; Dinesh Kumar; Aikaterini Lalatsa","2024","Pharmaceutics","Recommended via topic search: blockchain healthcare electronic health records privacy","2157603","2760cb847e6c25a171c47bb020d45537ac68aa45fb78ef5f338b97d8166e05be"
"papers/Artificial_Intelligence_in_Logistics_Optimization_with_Sustainable_Criteria_A_Review.pdf","prior_related","10.3390/su16219145","Artificial Intelligence in Logistics Optimization with Sustainable Criteria: A Review","Wenwen Chen; Yangchongyi Men; Noelia Fuster; Celia Osorio; Ángel A. Juan","2024","Sustainability","Recommended via topic search: blockchain smart agriculture IoT traceability","1559785","56f822f3882c0f1705748a6b5d956281c4a9c2e238bbeeafbd7694419eb5bd98"
"papers/Artificial_Neural_Network_Blockchain_Techniques_for_Healthcare_System_Focusing_on_the_Personal_Health_Records.pdf","cited_in_manuscripts","10.3390/electronics9050763","Artificial Neural Network Blockchain Techniques for Healthcare System: Focusing on the Personal Health Records","Seong-Kyu Kim; Jun-Ho Huh","2020","Electronics","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","8969819","af40b9fcf61e13fa0c9d884c3735155b64fd7cb441b1a7a9b38a19d039219361"
"papers/Artificial_intelligence_and_machine_learning_in_cybersecurity_a_deep_dive_into_state_of_the_art_techniques_and.pdf","prior_related","10.1007/s10115-025-02429-y","Artificial intelligence and machine learning in cybersecurity: a deep dive into state-of-the-art techniques and future paradigms","Nachaat Mohamed","2025","Knowledge and Information Systems","Recommended via topic search: blockchain scalability parallel transaction execution","3069674","d5d496d160d5d5760b75a5b7702dfdf0c6ba76167dd2099966b3d251125f6cd5"
"papers/Balancing_Privacy_and_Progress_A_Review_of_Privacy_Challenges_Systemic_Oversight_and_Patient_Perceptions_in_AI.pdf","prior_related","10.3390/app14020675","Balancing Privacy and Progress: A Review of Privacy Challenges, Systemic Oversight, and Patient Perceptions in AI-Driven Healthcare","S. Williamson; Victor R. Prybutok","2024","Applied Sciences","Recommended via topic search: blockchain healthcare electronic health records privacy","665720","11a880af419c751dbb86db9df43b3eebe516b04a2398948a5437784421adedef"
"papers/Beyond_Bits_A_Review_of_Quantum_Embedding_Techniques_for_Efficient_Information_Processing.pdf","prior_related","10.1109/access.2024.3382150","Beyond Bits: A Review of Quantum Embedding Techniques for Efficient Information Processing","Mansoor Ali Khan; Muhammad Naveed Aman; Biplab Sikdar","2024","IEEE Access","Recommended via topic search: Chinese remainder theorem blockchain cryptography","11690500","792cf8d1d5b62acd5496ac678f147dc2cafbb758553be7ed5806cf078e740f87"
"papers/Bitcoin_monthly_return_forecast_A_comparison_of_ARIMA_and_multi_layer_Perceptron_Artificial_Neural_Networ.pdf","supplemental_related_oa","10.1201/9781003032588-1","Bitcoin","A.R. Sathya; Ahmed A. Elngar","2020","Bitcoin and Blockchain","related OA search","1746862","53b7289cf1cae8bf1ef9d3d45e6ead20e7fe1f89bb8a591d49f0986e41109ec3"
"papers/Blockchain_Applications_in_Core_Healthcare_Services_Patient_Data_Research_and_Institutional_Processes.pdf","supplemental_related_oa","","Blockchain Applications in Core Healthcare Services Patient Data Research and Institutional Processes","","","","related OA search","9707707","0e3856965e7fdf99480f6ffcbc7290719a9787773fe4e46a05c6d371d7b317ab"
"papers/Blockchain_Based_Framework_for_Traffic_Event_Verification_in_Smart_Vehicles.pdf","cited_in_manuscripts","10.1109/access.2024.3352738","Blockchain-Based Framework for Traffic Event Verification in Smart Vehicles","Francisco A. Pujol; Higinio Mora; Tamai Ramírez; Carlos Rocamora; Arturo Bedón","2024","IEEE Access","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","2478202","42f2faa59640c9913e8d16849b445e16f32d83cc9a8a474d0c3da202ffd8d791"
"papers/Blockchain_Based_Personal_Health_Records_Sharing_Scheme_With_Data_Integrity_Verifiable.pdf","cited_in_manuscripts","10.1109/access.2019.2931531","Blockchain-Based Personal Health Records Sharing Scheme With Data Integrity Verifiable","Shangping Wang; Dan Zhang; Yaling Zhang","2019","IEEE Access","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","8990735","2540df9eb2c0bdeeb9962b3e07d0d22fa473178917cccfa3cc4713580c0bf1a1"
"papers/Blockchain_Based_Smart_Farm_Security_Framework_for_the_Internet_of_Things.pdf","reference_bib","10.3390/s23187992","Blockchain-Based Smart Farm Security Framework for the Internet of Things","Aliyu, Ahmed Abubakar and Liu, Jinshuo","2023","Sensors","ali2023farmDataTampering","3032172","12c40ab28b18792bbb40f38c771ace5593ff278715e81191f56b943d23dda25b"
