package,package_size_bytes,package_sha256,paper_file,paper_size_bytes
"research_papers_part_01.zip","19796645","5409a450b8cf7f748d5f2b49bc4cd20df08c7ac2e9532213893f203779aa8aff","AI_and_6G_Into_the_Metaverse_Fundamentals_Challenges_and_Future_Research_Trends.pdf","20899540"
"research_papers_part_01.zip","19796645","5409a450b8cf7f748d5f2b49bc4cd20df08c7ac2e9532213893f203779aa8aff","Bitcoin_monthly_return_forecast_A_comparison_of_ARIMA_and_multi_layer_Perceptron_Artificial_Neural_Networ.pdf","1746862"
"research_papers_part_02.zip","19712004","73fd847af3a9a9c185c434d2908b16da826053b974503293377bd4f7cbd37ba7","A_Survey_on_the_Role_of_IoT_in_Agriculture_for_the_Implementation_of_Smart_Farming.pdf","12249113"
"research_papers_part_02.zip","19712004","73fd847af3a9a9c185c434d2908b16da826053b974503293377bd4f7cbd37ba7","Blockchain_for_Secure_EHRs_Sharing_of_Mobile_Cloud_Based_E_Health_Systems.pdf","7864126"
"research_papers_part_03.zip","19726783","c8df959d026f13e5284a2cc03c9eb8400ed51cf81ef27e7bb3615f2a0c9e3a19","Blockchain_Based_Personal_Health_Records_Sharing_Scheme_With_Data_Integrity_Verifiable.pdf","8990735"
"research_papers_part_03.zip","19726783","c8df959d026f13e5284a2cc03c9eb8400ed51cf81ef27e7bb3615f2a0c9e3a19","Design_of_Dual_Mode_Local_Oscillators_Using_CMOS_Technology_for_Motion_Detection_Sensors.pdf","12013598"
"research_papers_part_04.zip","19783640","d63f00666c075ad061fb301d909fe95b38dcfc270a3f573d440bed7db2af8d14","Beyond_Bits_A_Review_of_Quantum_Embedding_Techniques_for_Efficient_Information_Processing.pdf","11690500"
"research_papers_part_04.zip","19783640","d63f00666c075ad061fb301d909fe95b38dcfc270a3f573d440bed7db2af8d14","Blockchain_Applications_in_Core_Healthcare_Services_Patient_Data_Research_and_Institutional_Processes.pdf","9707707"
"research_papers_part_04.zip","19783640","d63f00666c075ad061fb301d909fe95b38dcfc270a3f573d440bed7db2af8d14","Blockchain_Interoperability_and_Self_Sovereign_Identity_Trust_Me_It_s_My_Data.pdf","526825"
"research_papers_part_05.zip","19770767","e35f52248231fc356c48fe958cdf9a6eefcbaa7410fc7c58889bff33d4910b68","A_Comprehensive_Survey_Evaluating_the_Efficiency_of_Artificial_Intelligence_and_Machine_Learning_Techniques_on.pdf","11907527"
"research_papers_part_05.zip","19770767","e35f52248231fc356c48fe958cdf9a6eefcbaa7410fc7c58889bff33d4910b68","Exploring_security_threats_and_solutions_Techniques_for_Internet_of_Things_IoT_from_vulnerabilities_to_vigilan.pdf","1396437"
"research_papers_part_05.zip","19770767","e35f52248231fc356c48fe958cdf9a6eefcbaa7410fc7c58889bff33d4910b68","Reversible_data_hiding_in_encrypted_images_using_chaos_theory_and_Chinese_Remainder_Theorem.pdf","10518606"
"research_papers_part_06.zip","19646019","7ad09740f3927ed9aa03bc1f2e52eea35da069d6740d292d3a16d2e1e0e9c842","Artificial_Neural_Network_Blockchain_Techniques_for_Healthcare_System_Focusing_on_the_Personal_Health_Records.pdf","8969819"
"research_papers_part_06.zip","19646019","7ad09740f3927ed9aa03bc1f2e52eea35da069d6740d292d3a16d2e1e0e9c842","Developing_Ubiquitous_Sensor_Network_Platform_Using_Internet_of_Things_Application_in_Precision_Agricultu.pdf","9001532"
