key,title,authors,year,venue,doi,status,oa_status,reason,oa_pdf_url,notes
"wang2006wireless","Wireless sensors in agriculture and food industry: Recent development and future perspective","Wang, Ning and Zhang, Naiqian and Wang, Maohua","2006","Computers and Electronics in Agriculture","10.1016/j.compag.2005.09.003","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"parhami2010computer","Computer Arithmetic: Algorithms and Hardware Designs","Parhami, Behrooz","2010","Oxford University Press","","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"jin2025productivity","Efficient productivity prediction model based on edge data compression in smart farms","Jin, Peng and Du, Wenshuang and Jin, Wenquan","2025","Smart Agricultural Technology","10.1016/j.atech.2025.101242","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"amraouy2025ssi","A blockchain- and self-sovereign identity-based collaborative framework for secure and verifiable cross-organizational data sharing in smart irrigation","Amraouy, Okacha and Benbrahim, Mohammed and Kabbaj, Mohammed Nabil","2025","Smart Agricultural Technology","10.1016/j.atech.2025.101654","matched","gold","Publication matched; an OA landing page or metadata record was found, but no downloadable PDF was retrieved","","Open-access landing page found, but no direct PDF URL"
"chen2025compression","An Efficient Lossless Compression Algorithm for Periodic Data in Wireless Sensor Networks","Marcelloni, Francesco and Vecchio, Massimo","2010","The Computer Journal","10.1093/comjnl/bxp118","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"mcbratney2005future","Future directions of precision agriculture","McBratney, Alex and Whelan, Brett and Ancev, Tiho","2005","Precision Agriculture","10.1007/s11119-005-0681-8","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"zhang2002precision","Precision agriculture: a worldwide overview","Zhang, Naiqian and Wang, Maohua and Wang, Ning","2002","Computers and Electronics in Agriculture","10.1016/s0168-1699(02)00096-0","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"bogena2010soil","Evaluation of a low-cost soil water content sensor for wireless network applications","Bogena, Heye R. and Huisman, Johan A. and Oberdörster, Christian and Vereecken, Harry","2010","Journal of Hydrology","10.1016/j.jhydrol.2007.06.032","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"pierce1999site","Aspects of precision agriculture","Pierce, Francis J. and Nowak, Peter","1999","Advances in Agronomy","10.1016/s0065-2113(08)60513-1","matched_no_oa_pdf","closed","Publication matched, but no lawful direct open-access PDF was found","",""
"evans2008precision","Integration of wireless sensor network with variable rate irrigation technology","Evans, R. G. and Iversen, W. M. and Kim, Y.","2008","Proceedings of the ASABE Annual International Meeting","","unresolved","unknown","Bibliographic record could not be reliably resolved","",""
