key,entry_type,doi,title,authors,year,venue,status,oa_status,oa_pdf_url,downloaded,file,lookup,notes
"aliyu2023blockchainbasedsmartfarm","article","10.3390/s23187992","Blockchain-Based Smart Farm Security Framework for the Internet of Things","Aliyu, Ahmed Abubakar and Liu, Jinshuo","2023","Sensors (Basel, Switzerland)","matched_existing_file","open","""","yes","papers/Blockchain_Based_Smart_Farm_Security_Framework_for_the_Internet_of_Things.pdf","""",""""
"wang2006wireless","article","10.1016/j.compag.2005.09.003","Wireless sensors in agriculture and food industry: Recent development and future perspective","Wang, Ning and Zhang, Naiqian and Wang, Maohua","2006","Computers and Electronics in Agriculture","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"rathi2025smart","article","10.3389/frcmn.2025.1587402","Smart agriculture resource allocation and energy optimization using bidirectional long short-term memory with ant colony optimization (Bi-LSTM–ACO)","Rathi, M. and Gomathy, C.","2025","Frontiers in Communications and Networks","matched_existing","open","""","yes","papers/Smart_agriculture_resource_allocation_and_energy_optimization_using_bidirectional_long_short_term_memory_with_.pdf","""",""""
"parhami2010computer","book","""","Computer Arithmetic: Algorithms and Hardware Designs","Parhami, Behrooz","2010","Oxford University Press","matched_no_oa_pdf","closed","""","no","""","openalex_title",""""
"gong2025edge","article","10.3390/s25175302","Edge Computing-Enabled Smart Agriculture: Technical Architectures, Practical Evolution, and Bottleneck Breakthroughs","Gong, Ran and Zhang, Hongyang and Li, Gang and He, Jiamin","2025","Sensors","matched_existing_file","open","""","yes","papers/Edge_Computing_Enabled_Smart_Agriculture_Technical_Architectures_Practical_Evolution_and_Bottleneck_Break.pdf","""",""""
"jin2025productivity","article","10.1016/j.atech.2025.101242","Efficient productivity prediction model based on edge data compression in smart farms","Jin, Peng and Du, Wenshuang and Jin, Wenquan","2025","Smart Agricultural Technology","matched","gold","""","no","""","openalex_doi","Open-access landing page found, but no direct PDF URL"
"amraouy2025ssi","article","10.1016/j.atech.2025.101654","A blockchain- and self-sovereign identity-based collaborative framework for secure and verifiable cross-organizational data sharing in smart irrigation","Amraouy, Okacha and Benbrahim, Mohammed and Kabbaj, Mohammed Nabil","2025","Smart Agricultural Technology","matched","gold","""","no","""","openalex_doi","Open-access landing page found, but no direct PDF URL"
"wang2025lora","article","10.1109/jiot.2022.3230505","A Survey on LoRa for Smart Agriculture: Current Trends and Future Perspectives","Pagano, Antonino and Croce, Daniele and Tinnirello, Ilenia and Vitale, Gianpaolo","2023","IEEE Internet of Things Journal","matched_existing","open","""","yes","papers/A_Survey_on_LoRa_for_Smart_Agriculture_Current_Trends_and_Future_Perspectives.pdf","""",""""
"chen2025compression","article","10.1093/comjnl/bxp118","An Efficient Lossless Compression Algorithm for Periodic Data in Wireless Sensor Networks","Marcelloni, Francesco and Vecchio, Massimo","2010","The Computer Journal","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"jaganmohan2026smart","article","10.3389/fbloc.2026.1766232","Smart agriculture 5.0: blockchain and reinforcement learning synergy for multicropping optimization and traceable IoT-enabled supply chains","Jagan Mohan, R. N. V. and Rayanoothala, P. S. Pravallika Sree and Praneetha Sree, R. P. R.","2026","Frontiers in Blockchain","matched_existing_file","open","""","yes","papers/Smart_agriculture_5_0_blockchain_and_reinforcement_learning_synergy_for_multicropping_optimization_and_tr.pdf","""",""""
"mcbratney2005future","article","10.1007/s11119-005-0681-8","Future directions of precision agriculture","McBratney, Alex and Whelan, Brett and Ancev, Tiho","2005","Precision Agriculture","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"zhang2002precision","article","10.1016/s0168-1699(02)00096-0","Precision agriculture: a worldwide overview","Zhang, Naiqian and Wang, Maohua and Wang, Ning","2002","Computers and Electronics in Agriculture","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"gebbers2010precision","article","10.1126/science.1183899","Precision agriculture and food security","Gebbers, Robin and Adamchuk, Viacheslav I.","2010","Science","matched_existing","open","""","yes","papers/Precision_Agriculture_and_Food_Security.pdf","""",""""
"bogena2010soil","article","10.1016/j.jhydrol.2007.06.032","Evaluation of a low-cost soil water content sensor for wireless network applications","Bogena, Heye R. and Huisman, Johan A. and Oberdörster, Christian and Vereecken, Harry","2010","Journal of Hydrology","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"pierce1999site","article","10.1016/s0065-2113(08)60513-1","Aspects of precision agriculture","Pierce, Francis J. and Nowak, Peter","1999","Advances in Agronomy","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"evans2008precision","article","""","Integration of wireless sensor network with variable rate irrigation technology","Evans, R. G. and Iversen, W. M. and Kim, Y.","2008","Proceedings of the ASABE Annual International Meeting","unresolved","unknown","""","no","""","""",""""
"aydin2021comprehensive","article","10.1109/access.2021.3129552","A comprehensive review of IoT and wireless sensor networks in precision agriculture","Aydin, Gokhan and Hall, Michael J.","2021","IEEE Access","unresolved","unknown","""","no","""","""",""""
"sharma2020edge","article","10.1109/jiot.2020.2977767","Live data analytics with collaborative edge and cloud processing in wireless IoT networks","Sharma, Sandeep K. and Wang, Xianbin","2020","IEEE Internet of Things Journal","matched","gold","http://orbilu.uni.lu/handle/10993/40066","no","""","openalex_title","OA PDF download failed"
"liu2019edge","article","10.1109/mnet.2019.1800254","Intelligent edge computing for IoT-based energy management in smart cities","Liu, Yang and Yang, Cheng and Jiang, Li and Xie, Shengli and Zhang, Yan","2019","IEEE Network","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"wang2021edge","article","10.1109/comst.2020.2970550","Convergence of edge computing and deep learning: A comprehensive survey","Wang, Xiaofei and Han, Yi and Leung, Victor C. M. and Niyato, Dusit and Yan, Xueqiang and Chen, Xu","2021","IEEE Communications Surveys \& Tutorials","matched_existing_file","open","""","yes","papers/Convergence_of_edge_computing_and_deep_learning_A_comprehensive_survey.pdf","""",""""
"van2020review","article","10.1016/j.compag.2020.105709","Crop yield prediction using machine learning: A systematic literature review","Van Klompenburg, Thomas and Kassahun, Ayalew and Catal, Cagatay","2020","Computers and Electronics in Agriculture","matched","hybrid","https://www.sciencedirect.com/science/article/pii/S0168169920302301/pdf","no","""","openalex_doi","OA location did not return a PDF"
"mohanty2016using","article","10.3389/fpls.2016.01419","Using deep learning for image-based plant disease detection","Mohanty, Sharada P. and Hughes, David P. and Salathé, Marcel","2016","Frontiers in Plant Science","matched_existing","open","""","yes","papers/Using_Deep_Learning_for_Image_Based_Plant_Disease_Detection.pdf","""",""""
"goap2018iot","article","10.1016/j.compag.2018.09.040","An IoT based smart irrigation management system using Machine learning and open source technologies","Goap, Amarendra and Sharma, Dinesh and Shukla, A. K. and Rama Krishna, C.","2018","Computers and Electronics in Agriculture","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"chlingaryan2018machine","article","10.1016/j.compag.2018.05.012","Machine learning approaches for crop yield prediction and nitrogen status estimation in precision agriculture: A review","Chlingaryan, Anna and Sukkarieh, Salah and Whelan, Brett","2018","Computers and Electronics in Agriculture","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"tian2017supply","inproceedings","10.1109/icsssm.2017.7996119","A supply chain traceability system for food safety based on HACCP, blockchain & Internet of Things","Tian, Feng","2017","Proceedings of the 2017 International Conference on Service Systems and Service Management (ICSSSM)","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"amdahl1967validity","inproceedings","10.1145/1465482.1465560","Validity of the single processor approach to achieving large scale computing capabilities","Amdahl, Gene M.","1967","Proceedings of the April 18-20, 1967, Spring Joint Computer Conference","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"espressif2020esp32","manual","""","ESP32 Technical Reference Manual","Espressif Systems","2020","""","unresolved","unknown","""","no","""","""",""""
"oh2025foodsafety","article","10.3390/s23115342","The Role of Blockchain Technology in Promoting Traceability Systems in Agri-Food Production and Supply Chains","Bosona, Techane and Gebresenbet, Girma","2023","Sensors","matched_existing","open","""","yes","papers/The_Role_of_Blockchain_Technology_in_Promoting_Traceability_Systems_in_Agri_Food_Production_and_Supply_Chains.pdf","""",""""
"kamilaris2019rise","article","10.1016/j.tifs.2019.07.034","The rise of blockchain technology in agriculture and food supply chains","Kamilaris, Andreas and Fonts, Agusti and Prenafeta-Boldó, Francesc X.","2019","Trends in Food Science \& Technology","matched_existing_file","open","""","yes","papers/The_rise_of_blockchain_technology_in_agriculture_and_food_supply_chains.pdf","""",""""
"galvez2018future","article","10.1016/j.trac.2018.08.011","Future challenges on the use of blockchain for food traceability analysis","Galvez, Juan F. and Mejuto, Javier and Simal-Gandara, Jesus","2018","TrAC Trends in Analytical Chemistry","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"lin2018blockchain","inproceedings","10.1145/3265689.3265692","Blockchain and IoT based food traceability system for smart agriculture","Lin, Jian and Shen, Zhiqi and Zhang, Anting and Chai, Yi","2018","Proceedings of the 3rd International Conference on Crowd Science and Engineering","matched","green","https://dr.ntu.edu.sg/bitstream/10356/137329/2/Blockchain%20and%20IoT%20based%20Food%20Traceability%20for%20Smart%20Agriculture-AcceptedVersion.pdf","no","""","openalex_doi","OA location did not return a PDF"
"ferrag2020security","article","10.1109/access.2020.2973178","Security and privacy for green IoT-based agriculture: Review, blockchain solutions, and challenges","Ferrag, Mohamed Amine and Shu, Lei and Yang, Xianjun and Derhab, Abdelouahid and Maglaras, Leandros","2020","IEEE Access","matched_existing","open","""","yes","papers/Security_and_Privacy_for_Green_IoT_Based_Agriculture_Review_Blockchain_Solutions_and_Challenges.pdf","""",""""
"haque2024scalable","article","10.1111/exsy.13382","Conceptualizing smart city applications: Requirements, architecture, security issues, and emerging trends","Haque, Abu Bakar and Bhushan, Bharat and Dhiman, Gaurav","2024","Expert Systems","matched","bronze","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/exsy.13382","no","""","openalex_doi","OA location did not return a PDF"
"rama2021systematic","article","10.1016/j.matpr.2021.06.253","A systematic review of blockchain technology for agriculture supply chain management","Rama, R. and Kanchana, V. and Sivasankari, N. and Prabha, S.","2021","Materials Today: Proceedings","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"patil2022blockchain","article","10.1109/access.2022.3142563","A framework for blockchain-based smart farming system using IoT","Patil, Akshay S. and Tama, Bayu Adhi and Park, YoungHo and Rhee, Kyung-Hyune","2022","IEEE Access","unresolved","unknown","""","no","""","""",""""
"li2018lossless","article","10.1016/j.jii.2018.01.005","5G Internet of Things: A survey","Li, Shancang and Da Xu, Li and Zhao, Shanshan","2018","Journal of Industrial Information Integration","matched","green","http://eprints.uwe.ac.uk/34737/1/IoT5m.pdf","no","""","openalex_doi","OA PDF download failed"
"kjellsson2008adaptive","article","10.1145/1362542.1362545","Adaptive sampling for sensor networks","Kjellsson, Jesper and Zakhor, Avideh","2008","ACM Transactions on Sensor Networks","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"ding1996remainder","book","10.1142/2893","Chinese Remainder Theorem: Applications in Computing, Coding, Cryptography","Ding, Cunsheng and Pei, Dingyi and Salomaa, Arto","1996","World Scientific Publishing","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"garner1959residue","article","10.1109/tec.1959.5219515","The residue number system","Garner, Harvey L.","1959","IRE Transactions on Electronic Computers","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"goldreich1999china","inproceedings","10.1145/301250.301308","Chinese remaindering with errors","Goldreich, Oded and Ron, Dana and Sudan, Madhu","1999","Proceedings of the 31st Annual ACM Symposium on Theory of Computing","unresolved","unknown","""","no","""","""",""""
"wang2018novel","article","10.3390/s18041057","A novel data compression method for wireless sensor networks","Wang, Yong and Chen, Irene and Wang, Dazhi","2018","Sensors","matched_existing","open","""","yes","papers/Design_of_Dual_Mode_Local_Oscillators_Using_CMOS_Technology_for_Motion_Detection_Sensors.pdf","""",""""
"marcelloni2009energy","article","10.1109/lcomm.2008.080300","A simple algorithm for data compression in wireless sensor networks","Marcelloni, Francesco and Vecchio, Massimo","2008","IEEE Communications Letters","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"sanchez2021energy","article","10.3390/s21041209","Energy-efficient data transmission in wireless sensor networks for precision agriculture","Sanchez, Sergio and Blanc, Sylvie and Yuste, Pedro and Serrano, Juan J.","2021","Sensors","matched_existing","open","""","yes","papers/Natural_Frequencies_Identification_by_FEM_Applied_to_a_2_DOF_Planar_Robot_and_Its_Validation_Using_MUSIC_Algor.pdf","""",""""
"heinzelman2000energy","inproceedings","10.1109/hicss.2000.926982","Energy-efficient communication protocol for wireless microsensor networks","Heinzelman, Wendi Rabiner and Chandrakasan, Anantha and Balakrishnan, Hari","2000","Proceedings of the 33rd Annual Hawaii International Conference on System Sciences","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"bor2016lorawan","inproceedings","10.1145/2988287.2989163","Do LoRa Low-Power Wide-Area Networks Scale?","Bor, Martin C. and Roedig, Utz and Voigt, Thiemo and Alonso, Juan M.","2016","Proceedings of the 19th ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems (MSWiM)","matched","gold","http://dl.acm.org/ft_gateway.cfm?id=2989163&type=pdf","no","""","openalex_doi","OA PDF download failed"
"adelantado2017understanding","article","10.1109/mcom.2017.1600613","Understanding the limits of LoRaWAN","Adelantado, Ferran and Vilajosana, Xavier and Tuset-Peiro, Pere and Martinez, Borja and Melia-Segui, Joan and Watteyne, Thomas","2017","IEEE Communications Magazine","matched_existing_file","open","""","yes","papers/Understanding_the_limits_of_LoRaWAN.pdf","""",""""
"li2020performance","article","10.1109/jiot.2020.2999323","Performance analysis of LoRa networks for smart agriculture","Li, Shancang and Li, Jie and Liu, Jia and Wang, Hao and Zhao, Shanshan","2020","IEEE Internet of Things Journal","unresolved","unknown","""","no","""","""",""""
"raj2017comprehensive","article","""","A comprehensive study on LoRa technology for wireless sensor networks","Raj, Emilin Renu and Prasad, D. V.","2017","International Journal of Advanced Research in Computer Science","unresolved","unknown","""","no","""","""",""""
"akylidiz2005wirelessmesh","article","10.1109/mcom.2005.1509968","A survey on wireless mesh networks","Akyildiz, Ian F. and Wang, Xudong","2005","IEEE Communications Magazine","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"schmidt2010batman","inproceedings","10.4108/icst.tridentcom2010.8784","B.A.T.M.A.N. advanced: The new beginning of mesh networking","Schmidt, Thomas and Wählisch, Matthias and Liers, Andreas and Jopen, Michael","2010","Proceedings of the 5th International Conference on Testbeds and Research Infrastructures for the Development of Networks and Communities","unresolved","unknown","""","no","""","""",""""
"chettri2020comprehensive","article","10.1109/jiot.2019.2948888","A comprehensive survey on Internet of Things (IoT) toward 5G wireless systems","Chettri, Lalit and Bera, Rabindra","2020","IEEE Internet of Things Journal","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"xu2016blockchain","inproceedings","10.1109/icsa.2016.15","The blockchain as a software connector","Xu, Xiaolong and Pautasso, Cesare and Zhu, Liming and Gramoli, Vincent and Ponomarev, Alexander and Tran, An B. and Chen, Shiping","2016","Proceedings of the 13th IEEE International Conference on Software Architecture","matched_no_oa_pdf","closed","""","no","""","openalex_title",""""
"salah2019blockchain","article","10.1109/access.2019.2918000","Blockchain-based soybean traceability in agricultural supply chain","Salah, Khaled and Nizamuddin, Nishara and Jayaraman, Raja and Omar, Mohammed","2019","IEEE Access","matched_existing_file","open","""","yes","papers/Blockchain_based_soybean_traceability_in_agricultural_supply_chain.pdf","""",""""
"zhang2019blockchain","inproceedings","10.1109/iemcon.2019.8936228","Blockchain for IoT-based smart agriculture","Zhang, Peng and Schmidt, Douglas C. and White, Jules and Dubey, Abhishek","2019","Proceedings of the IEEE 10th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"zhang2015prosper","article","10.1016/j.compag.2015.10.008","PROSPER: A process mining-based framework for agricultural product traceability","Zhang, Xiaoshuan and Zhang, Jian and Li, Ling and Zhang, Yande","2015","Computers and Electronics in Agriculture","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"fao2050","misc","""","The future of food and agriculture: Trends and challenges","Food and Agriculture Organization of the United Nations","2017","""","matched_no_oa_pdf","closed","""","no","""","openalex_title",""""
"un_water2023","misc","""","Water for a Sustainable World","United Nations World Water Development Report","2023","""","matched_no_oa_pdf","closed","""","no","""","openalex_title",""""
"tunisia_water_report","misc","""","National Water Strategy 2050","Tunisian Ministry of Agriculture","2022","""","unresolved","unknown","""","no","""","""",""""
"mdpi_tunisia_tomato","article","10.3390/agriculture11100927","Effects of Water Deficit on Growth, Physiology and Fruit Quality Traits of Two Contrasting Tomato (Solanum lycopersicum L.) Genotypes","Boukhriss, Monia and Marzouk, Arwa and Cherif, Ines and Gaalich, Badr and Triki, Tarek and Zoghlami, Nihed","2021","Agriculture","matched_existing_file","open","""","yes","papers/Effects_of_Water_Deficit_on_Growth_Physiology_and_Fruit_Quality_Traits_of_Two_Contrasting_Tomato_Solanum_.pdf","""",""""
"jaeid_pepper","article","10.21273/hortsci15060-20","Capsicum Production and Quality: A Review","Ib\'a\~nez, M. Victoria and Muy-Rangel, M. Dolores and Gonz\'alez-Aguilar, Gustavo A. and Heredia, J. Basilio","2020","HortScience","unresolved","unknown","""","no","""","""",""""
"fao_tomato_guide","misc","""","Good Agricultural Practices for Greenhouse Tomato Production","Food and Agriculture Organization","2013","""","unresolved","unknown","""","no","""","""",""""
"odounfa2025chili","article","10.1007/s44163-025-00583-4","Deep learning enables precision agriculture for sustainable chili pepper disease detection in Benin","Odounfa, Mireille Gloria Founmilayo and Hounmenou, Castro Gbêmêmali and Salako, Valère Kolawolé and Affokpon, Antoine and Glèlè Kakaï, Romain L.","2025","Discover Artificial Intelligence","matched_existing_file","open","""","yes","papers/Deep_learning_enables_precision_agriculture_for_sustainable_chili_pepper_disease_detection_in_Benin.pdf","""",""""
"pmc2025blockchainhcps","article","10.3390/s23187992","Blockchain-Based Smart Farm Security Framework for the Internet of Things","Aliyu, Ahmed Abubakar and Liu, Jinshuo","2023","Sensors","matched_existing_file","open","""","yes","papers/Blockchain_Based_Smart_Farm_Security_Framework_for_the_Internet_of_Things.pdf","""",""""
"safeer2024tomato","article","10.3390/agriculture14071120","Blockchain-backed sustainable management of the Italian tomato processing industry","Safeer, Sajid and Ricciardi, Paolo and Romano, Alessandro and Russo, Guido","2024","Agriculture","matched_existing_file","open","""","yes","papers/Blockchain_backed_sustainable_management_of_the_Italian_tomato_processing_industry.pdf","""",""""
"tang2024feasibility","article","10.1016/j.heliyon.2024.e34584","Assessing blockchain and IoT technologies for agricultural food supply chains in Africa: A feasibility analysis","Tang, Andrews and Tchao, Eric Tutu and Agbemenu, Andrew Selasi and Keelson, Eliel and Klogo, Griffith Selorm and Kponyo, Jerry John","2024","Heliyon","matched","gold","http://www.cell.com/article/S2405844024106159/pdf","no","""","openalex_doi","OA PDF download failed"
"wang2025hcps","article","10.1002/advs.202503102","Blockchain-empowered H-CPS architecture for smart agriculture","Wang, Xiaoding and Wu, Qibin and Zeng, Haitao and Yang, Xu and Cui, Hui and Yi, Xun and Piran, Md Jalil and Luo, Ming and Que, Youxiong","2025","Advanced Science","matched","open","https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/advs.202503102","no","""","openalex_doi+crossref_cc","OA location did not return a PDF"
"wang2025pepper","article","10.1186/s13007-025-01387-4","An advanced deep learning method for pepper diseases and pests detection","Wang, Xuewei and Liu, Jun and Chen, Qian","2025","Plant Methods","downloaded","gold","https://plantmethods.biomedcentral.com/counter/pdf/10.1186/s13007-025-01387-4","yes","papers/An_advanced_deep_learning_method_for_pepper_diseases_and_pests_detection.pdf","openalex_doi",""""
"zhang2022lorawan","article","10.1016/j.atech.2022.100053","LoRaWAN-based Internet of Things (IoT) system for precision irrigation in plasticulture fresh-market tomato","Zhang, Haozhe and He, Long and Di Gioia, Francesco and Choi, Daeun and Elia, Antonio and Heinemann, Paul","2022","Smart Agricultural Technology","matched","gold","https://www.sciencedirect.com/science/article/pii/S2772375522000181/pdf","no","""","openalex_doi","OA location did not return a PDF"
"chapungo2025lorawan","article","10.3390/s25196027","Experimental Evaluation of LoRaWAN Connectivity Reliability in Remote Rural Areas of Mozambique","Chapungo, Nelson Jos\'e and Postolache, Octavian","2025","Sensors","downloaded","gold","https://www.mdpi.com/1424-8220/25/19/6027/pdf?version=1759300747","yes","papers/Experimental_Evaluation_of_LoRaWAN_Connectivity_Reliability_in_Remote_Rural_Areas_of_Mozambique.pdf","openalex_doi",""""
"bicamumakuba2025lorawan","article","10.22765/pastj.20250003","IoT-enabled LoRaWAN gateway for monitoring and predicting spatial environmental parameters in smart greenhouses: A review","Bicamumakuba, Emmanuel and Habineza, Eliezel and Samsuzzaman and Reza, Md Nasim and Chung, Sun-Ok","2025","Precision Agriculture Science and Technology","unresolved","unknown","""","no","""","""",""""
"turlykozhayeva2024proactive","article","10.3390/telecom5040051","Experimental Performance Comparison of Proactive Routing Protocols in Wireless Mesh Network Using Raspberry Pi 4","Turlykozhayeva, Dana and Temesheva, S. and Ussipov, N. and Baigaliyeva, A.","2024","Telecom","downloaded","gold","https://www.mdpi.com/2673-4001/5/4/51/pdf?version=1728528740","yes","papers/Experimental_Performance_Comparison_of_Proactive_Routing_Protocols_in_Wireless_Mesh_Network_Using_Raspber.pdf","openalex_doi",""""
"vidhya2021crt","article","10.5120/ijca2021921556","Evaluation and Performance Analysis of Chinese Remainder Theorem and Its Application to Lossless Image Compression","Vidhya, P. and Brindha, R.","2021","International Journal of Computer Applications","matched_no_oa_pdf","closed","""","no","""","openalex_title",""""
"rahman2022rnsenergy","article","10.1109/iscas.1994.408967","Modulo-Free Architecture for Binary to Residue Number System Conversion for Moduli Set $\2^n, 2^n-1, 2^n-1-1\$","Pourbigharaz, Farideh and Yassine, Hossein M.","1994","1994 IEEE International Symposium on Circuits and Systems (ISCAS)","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"khan2023fuzzycrt","article","10.1049/iet-wss.2013.0025","Improving lifetime in wireless sensor networks using the Residue Number System","Buttigieg, Victor and Farrugia, Reuben A. and Zammit-Mangion, Christoph","2014","IET Wireless Sensor Systems","unresolved","unknown","""","no","""","""",""""
"liu2024hybridblockchain","article","10.1109/jiot.2020.2984478","Blockchain Technologies for the Internet of Things: Research Issues and Challenges","Ferrag, Mohamed Amine and Shu, Lei and Debbah, M\'erouane","2021","IEEE Internet of Things Journal","downloaded","green","https://arxiv.org/pdf/1806.09099","yes","papers/Blockchain_Technologies_for_the_Internet_of_Things_Research_Issues_and_Challenges.pdf","openalex_title",""""
"akylidiz2005wireless","article","10.1109/mcom.2005.1509968","A survey on wireless mesh networks","Akyildiz, Ian F. and Wang, Xudong","2005","IEEE Communications Magazine","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"dorri2017blockchain","article","10.1109/comst.2017.2694144","Blockchain in internet of things: challenges and solutions","Dorri, Ali and Kanhere, Salil S. and Jurdak, Raja","2017","IEEE Communications Surveys \& Tutorials","downloaded","green","https://arxiv.org/pdf/1608.05187","yes","papers/Blockchain_in_internet_of_things_challenges_and_solutions.pdf","openalex_title",""""
"nguyen2019blockchain","article","10.1109/percomw.2017.7917634","Blockchain for IoT Security and Privacy: The Case Study of a Smart Home","Dorri, Ali and Kanhere, Salil S. and Jurdak, Raja and Gauravaram, Praveen","2017","2017 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops)","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"schmidt2010b.a.t.m.a.n.","article","10.1109/ccnc.2010.5421784","B.A.T.M.A.N. for mobile ad-hoc networks","Schmidt, A. and Westenberger, M. and Seitz, J. and Kuladinithi, K. and Timm-Giel, A.","2010","Proceedings of IEEE CCNC","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"van2017review","article","10.1016/j.compag.2020.105709","Crop yield prediction using machine learning: A systematic literature review","Van Klompenburg, Theo and Kassahun, Ayalew and Catal, Cagatay","2020","Computers and Electronics in Agriculture","matched","hybrid","https://www.sciencedirect.com/science/article/pii/S0168169920302301/pdf","no","""","openalex_doi","OA location did not return a PDF"
"xu2020making","article","10.1109/mnet.011.2000111","Making IoT fly: Blockchain-empowered cooperative air-ground networks","Xu, Ronghua and Chen, Jianhua and Blasch, Erik and Chen, Genshe","2020","IEEE Network","unresolved","unknown","""","no","""","""",""""
"lin2020blockchain","article","10.1145/3265689.3265692","Blockchain and IoT based Food Traceability for Smart Agriculture","Lin, J. and Shen, Z. and Zhang, A. and Chai, Y.","2018","Proceedings of the 3rd International Conference on Crowd Science and Engineering","matched","green","https://dr.ntu.edu.sg/bitstream/10356/137329/2/Blockchain%20and%20IoT%20based%20Food%20Traceability%20for%20Smart%20Agriculture-AcceptedVersion.pdf","no","""","openalex_doi","OA location did not return a PDF"
"ferrag2020blockchain","article","10.1109/jiot.2020.2984478","Blockchain Technologies for the Internet of Things: Research Issues and Challenges","Ferrag, M. A. and Shu, L. and Debbah, M.","2020","IEEE Internet of Things Journal","matched_existing_file","open","""","yes","papers/Blockchain_Technologies_for_the_Internet_of_Things_Research_Issues_and_Challenges.pdf","""",""""
"tian2016agri","article","10.1109/icsssm.2016.7538424","An Agri-Food Supply Chain Traceability System for China Based on RFID and Blockchain Technology","Tian, F.","2016","2016 13th International Conference on Service Systems and Service Management","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"kamilaris2019agri","article","10.1016/j.tifs.2019.07.034","The Rise of Blockchain Technology in Agriculture and Food Supply Chains","Kamilaris, A. and Fonts, A. and Prenafeta-Bold\'u, F. X.","2019","Trends in Food Science \& Technology","downloaded","hybrid","https://arxiv.org/pdf/1908.07391","yes","papers/The_Rise_of_Blockchain_Technology_in_Agriculture_and_Food_Supply_Chains.pdf","openalex_doi",""""
"benedict2021decentralized","article","10.1016/j.cose.2018.06.004","Bubbles of Trust: A decentralized blockchain-based authentication system for IoT","Hammi, Mohamed Tahar and Hammi, Badis and Bellot, Patrick and Serhrouchni, Ahmed","2018","Computers \& Security","matched_no_oa_pdf","closed","""","no","""","openalex_doi",""""
"tian2017traceability","article","10.1109/icasi.2017.7988632","A Supply Chain Traceability System for Food Safety Based on HACCP, Blockchain, and RFID","Tian, F.","2017","2017 International Conference on Applied System Innovation","unresolved","unknown","""","no","""","""",""""
"reyna2018blockchain","article","10.1016/j.future.2018.05.046","On Blockchain and Its Integration with IoT: Challenges and Opportunities","Reyna, A. and Martín, C. and Chen, J. and Soler, E. and Díaz, M.","2018","Future Generation Computer Systems","matched","hybrid","https://www.sciencedirect.com/science/article/pii/S0167739X17329205/pdf","no","""","openalex_doi","OA location did not return a PDF"
"acclima2022tdr","article","""","TDR-315N Soil Moisture Sensor Specifications","Acclima Inc.","2022","Acclima Datasheet","unresolved","unknown","""","no","""","""",""""
"aosong2018dht22","article","""","DHT22 Temperature and Humidity Sensor Datasheet","AOSONG Electronics","2018","AOSONG Technical Documentation","unresolved","unknown","""","no","""","""",""""
