x y block
3.8291 1188.019 1
3.8772 1207.997 2
3.9258 1189.812 3
3.9751 1202.643 4
4.0250 1202.879 5
4.0756 1206.165 6
4.1267 1212.518 7
4.1785 1228.088 8
7.6582 1156.872 1
7.7543 1144.479 2
7.8517 1149.881 3
7.9502 1146.240 4
8.0501 1143.044 5
8.1511 1131.713 6
8.2535 1133.136 7
8.3571 1190.368 8
15.3163 1034.722 1
15.5086 1054.262 2
15.7033 1042.045 3
15.9005 1085.168 4
16.1001 1036.915 5
16.3023 1084.479 6
16.5069 1040.822 7
16.7142 1076.666 8
30.6327 809.069 1
31.0173 824.341 2
31.4067 781.184 3
31.8010 821.314 4
32.2003 789.875 5
32.6045 830.819 6
33.0139 799.876 7
33.4283 837.926 8

