p write decision
0.0010 1034.74 158.62
0.0060 1068.40 179.75
0.0110 1081.50 188.20
0.0160 1091.20 194.24
0.0211 1098.02 198.60
0.0261 1103.50 202.10
0.0311 1108.10 205.40
0.0361 1112.00 208.20
0.0411 1115.70 210.50
0.0461 1119.20 212.70
0.0512 1122.20 214.90
0.0562 1124.86 216.80
0.0612 1127.40 218.50
0.0662 1129.80 220.10
0.0712 1132.00 221.70
0.0762 1134.10 223.10
0.0812 1136.00 224.46
0.0863 1137.90 225.80
0.0913 1139.70 227.00
0.0963 1141.50 228.30
0.1013 1143.40 229.40
0.1063 1145.00 230.50
0.1113 1146.70 231.60
0.1163 1148.20 232.60
0.1214 1149.70 233.70
0.1264 1151.10 234.50
0.1314 1152.50 235.40
0.1364 1154.00 236.30
0.1414 1155.30 237.30
0.1464 1156.60 238.20
0.1515 1158.00 239.00
0.1565 1159.30 240.00
0.1615 1160.60 240.70
0.1665 1161.80 241.60
0.1715 1163.00 242.40
0.1765 1164.10 243.20
0.1815 1165.30 243.90
0.1866 1166.40 244.70
0.1916 1167.50 245.40
0.1966 1168.50 246.20
0.2016 1169.70 246.90
0.2066 1170.70 247.60
0.2116 1171.80 248.20
0.2166 1172.90 248.90
0.2217 1173.80 249.60
0.2267 1174.70 250.30
0.2317 1175.70 250.90
0.2367 1176.70 251.70
0.2417 1177.80 252.30
0.2467 1178.70 253.00
0.2518 1179.60 253.60
0.2568 1180.60 254.30
0.2618 1181.40 254.90
0.2668 1182.30 255.50
0.2718 1183.20 256.10
0.2768 1184.10 256.70
0.2818 1185.10 257.30
0.2869 1186.00 258.00
0.2919 1186.90 258.50
0.2969 1187.90 259.10
0.3019 1188.70 259.70
0.3069 1189.60 260.30
0.3119 1190.50 260.80
0.3169 1191.40 261.40
0.3220 1192.20 262.00
0.3270 1193.00 262.50
0.3320 1193.90 263.00
0.3370 1194.60 263.60
0.3420 1195.50 264.10
0.3470 1196.30 264.60
0.3521 1197.10 265.10
0.3571 1197.90 265.70
0.3621 1198.70 266.20
0.3671 1199.60 266.70
0.3721 1200.30 267.30
0.3771 1201.20 267.80
0.3821 1202.00 268.40
0.3872 1202.80 268.80
0.3922 1203.60 269.30
0.3972 1204.40 269.90
0.4022 1205.10 270.40
0.4072 1205.90 270.90
0.4122 1206.60 271.40
0.4173 1207.40 271.90
0.4223 1208.10 272.40
0.4273 1208.90 273.00
0.4323 1209.70 273.50
0.4373 1210.50 274.00
0.4423 1211.20 274.50
0.4473 1212.00 275.00
0.4524 1212.80 275.50
0.4574 1213.60 276.00
0.4624 1214.40 276.50
0.4674 1215.10 277.00
0.4724 1215.90 277.40
0.4774 1216.70 277.90
0.4824 1217.40 278.50
0.4875 1218.20 278.90
0.4925 1218.90 279.40
0.4975 1219.70 280.00
0.5025 1220.40 280.50
0.5075 1221.10 281.00
0.5125 1221.90 281.50
0.5176 1222.70 282.10
